0,0,0,0
108490,89881,69406,369537
95041,91785,70437,380780
86940,95739,73852,383680
76989,97310,74683,391871
69999,100334,76907,393773
63525,105035,79987,390696
59564,110705,86350,384909
53137,111712,86951,392852
47786,113218,88116,394643
43470,115704,90184,395709
39358,116351,91382,392163
35381,117691,91212,394769
31957,118545,92032,400621
28848,119474,91917,399077
25954,117994,91136,405914
23789,120780,93782,400862
21280,120461,93710,402848
19280,119774,93303,405636
17611,121337,94522,405260
15662,120115,94085,408921
14490,121228,95105,407192
13033,120946,94419,409547
11748,119711,93405,412669
10990,122041,94370,411138
9904,120149,93704,414475
9044,120375,93761,417166
8065,122764,94626,414816
7604,121593,94995,414644
6798,122631,95665,416586
6419,121512,95296,414626
5628,125351,98223,413236
5311,120257,94094,419053
4860,119728,93760,418860
4521,120699,94078,418122
4294,121164,94919,418563
3820,121363,94505,422628
3776,122299,95846,417327
3334,120501,94197,423568
3124,121126,95754,418966
2902,120661,94699,422155
2767,117486,91976,427187
2693,118314,93129,424195
2463,118451,93156,424911
2388,118556,93518,424588
2152,118039,92269,429744
2123,117614,92577,427978
2202,119646,94019,422873
2076,119422,94317,423536
1967,118509,94602,424325
1851,116163,91657,432706
1807,114957,90799,432193
1774,113780,89260,436712
1739,117408,93637,426483
1735,116545,91713,427878
1644,116632,91624,431175
1399,115411,90975,433883
1407,112598,88074,437863
1632,112378,88422,435609
1458,112871,88632,437465
1365,115665,91740,433470
1388,114996,90851,432050
1429,114751,90687,432998
1407,111776,88081,438322
1287,112976,88864,437078
1367,112526,88556,437674
1305,111796,87444,438921
1187,112106,88474,437657
1394,112553,88013,437570
1264,112349,88654,436497
1356,109712,85370,440298
1333,113161,88598,437104
1294,110325,86982,441160
1253,112191,87886,438562
1116,110572,86488,443537
1084,110857,87406,444749
1009,109805,85863,446426
1250,112291,88220,437449
1092,109661,85196,445781
1152,111156,87153,440911
1109,109568,85787,445189
1141,107852,83346,448129
1098,109123,85294,447053
1102,107697,83164,448080
1270,108313,84649,444718
1057,108636,84276,447322
1229,107173,82192,447966
1218,109432,84713,442831
1157,105239,80902,452345
1213,107444,84078,446402
1154,104660,81214,452776
1210,103446,80408,452472
1009,106523,82267,452675
1156,106868,82112,450734
1198,105954,81608,452142
1170,107712,83235,448276
1204,105437,80903,451405
1201,102944,78153,457145
1123,107501,82815,449063
1282,105041,79357,453805
1038,105008,80128,454452
