0,0,0,0
0,0,0,0
0,0,0,144400
0,0,0,288800
0,0,0,433200
0,0,0,577600
0,0,0,722000
0,0,0,866400
0,0,0,1010800
0,0,0,1155200
0,0,0,1299600
0,0,0,1444000
0,0,0,1588400
0,0,0,1732800
0,0,0,1877200
0,0,0,2021600
0,0,0,2166000
0,0,0,2310400
0,0,0,2454800
0,0,0,2599200
0,0,0,2743600
0,0,0,2888000
0,0,0,3032400
0,0,0,3176800
0,0,0,3321200
0,0,0,3465600
0,0,0,3610000
0,0,0,3754400
0,0,0,3898800
0,0,0,4043200
0,0,0,4187600
0,0,0,4332000
0,0,0,4476400
0,0,0,4620800
0,0,0,4765200
0,0,0,4909600
0,0,0,5054000
0,0,0,5198400
0,0,0,5342800
0,0,0,5487200
0,0,0,5631600
0,0,0,5776000
0,0,0,5920400
0,0,0,6064800
0,0,0,6209200
0,0,0,6353600
0,0,0,6498000
0,0,0,6642400
0,0,0,6786800
0,0,0,6931200
0,0,0,7075600
0,0,0,7220000
0,0,0,7364400
0,0,0,7508800
0,0,0,7653200
0,0,0,7797600
0,0,0,7942000
0,0,0,8086400
0,0,0,8230800
0,0,0,8375200
0,0,0,8519600
0,0,0,8664000
0,0,0,8808400
0,0,0,8952800
0,0,0,9097200
0,0,0,9241600
0,0,0,9386000
0,0,0,9530400
0,0,0,9674800
0,0,0,9819200
0,0,0,9963600
0,0,0,10108000
0,0,0,10252400
0,0,0,10396800
0,0,0,10541200
0,0,0,10685600
0,0,0,10830000
0,0,0,10974400
0,0,0,11118800
0,0,0,11263200
0,0,0,11407600
0,0,0,11552000
0,0,0,11696400
0,0,0,11840800
0,0,0,11985200
0,0,0,12129600
0,0,0,12274000
0,0,0,12418400
0,0,0,12562800
0,0,0,12707200
0,0,0,12851600
0,0,0,12996000
0,0,0,13140400
0,0,0,13284800
0,0,0,13429200
0,0,0,13573600
0,0,0,13718000
0,0,0,13862400
0,0,0,14006800
0,0,0,14151200
0,0,0,14295600
