0,0,0,0
8221,7909,7866,89618
7896,9208,8926,87720
5879,8030,8010,92028
6557,9524,9460,88326
5549,9360,9180,89275
5126,10072,9519,88775
4475,9974,10114,89422
3608,9581,9261,91459
3747,9640,9764,90943
3099,9798,9328,91766
2829,10106,10116,90777
2454,10112,9634,91164
2099,8892,8782,94183
2623,12322,12240,86722
1853,10119,10054,91610
1659,10650,10479,91169
1716,11237,10972,89914
1518,10685,10711,91122
1381,9944,10110,92641
1291,11373,11298,89729
1173,11230,11437,89838
1064,11479,11135,90319
1051,12587,12124,88055
996,11376,10875,90578
837,11094,11113,90965
634,10078,10209,93194
737,12311,12128,88837
652,11089,11050,91148
557,11059,10320,92132
552,10522,10659,91943
427,9119,9285,94900
482,10167,9958,93458
484,12954,12783,87574
517,12755,12509,88123
396,12210,12009,89310
382,12002,12244,89528
341,9371,8863,94724
319,11111,11326,91397
396,13678,13383,86212
299,11350,11032,91399
293,11883,11476,90321
233,9678,9422,94417
326,11719,11690,90002
272,13254,12610,87532
217,11813,11521,90464
272,11697,11110,90803
249,12475,11926,89120
252,12514,12478,88306
233,10008,9863,93461
205,10527,10580,92283
228,9473,9642,94424
194,10359,10451,92422
227,11649,11564,90351
229,9315,9562,94568
199,10296,9884,93049
204,11153,11167,91356
215,10311,10570,92657
212,11944,11629,89943
172,11656,11316,90375
181,11100,10864,91888
196,10649,10251,92631
207,9154,9214,95074
195,8378,8497,96549
216,9384,9288,94620
203,11645,11428,90606
184,10211,10134,93008
160,8968,8833,96065
214,10854,10759,91914
178,10011,9780,93662
203,9992,9669,93482
172,8765,8785,95736
179,10652,10461,92060
170,9872,9795,94017
164,9623,9323,94512
185,9390,9358,94805
157,9969,10013,93872
169,9149,9108,95574
152,8558,8755,96352
173,11140,10723,91723
126,7905,7620,98389
168,9383,9304,95150
127,9234,9586,95126
150,10722,10182,92782
161,10134,9524,94036
167,10791,10181,92928
162,10476,10175,92892
164,10188,9972,93494
155,9480,9285,95163
165,10670,10997,91976
186,8620,8034,97059
188,10660,10397,92187
130,7252,7124,99591
160,9397,9224,95295
173,10559,10342,92747
190,8784,8531,95820
184,10748,10249,92604
153,7424,7278,98743
162,8812,8941,95699
172,9180,9077,94850
166,7808,7714,97850
